"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ANLN",1.20062368705544,9.28470358435964,10.0263638484039,8.1819165616345e-21,1.07532951283621e-16,36.475973230035
"CDKN3",0.981040004617922,9.23118411879068,9.88365948301013,2.46225774305618e-20,1.07532951283621e-16,35.4067385571799
"UCK2",0.648751947463957,9.67434790889022,9.76563037660947,6.08651087690725e-20,2.12650517017385e-16,34.5285433962256
"UBE2T",1.01728876574087,9.55703654655689,9.26746822283269,2.6000840455256e-18,7.57014469854778e-15,30.886300804963
"NEK2",1.0659722347467,8.3814474282596,9.17983267829274,4.97650394591335e-18,9.96497372130981e-15,30.2567834576326
"DHCR7",0.897151610339671,9.52256089556436,8.99887840627895,1.88029190937564e-17,2.98607448771664e-14,28.9680231517807
"TPX2",0.95481965685252,9.68435756664345,8.96148575577769,2.46996127624315e-17,3.59564612789096e-14,28.7036086903641
"PYCR1",0.670282543260324,10.1425097900634,8.89202798248554,4.09238026748998e-17,5.49921468406019e-14,28.214204290484
"TRIP13",0.969156076162447,9.18137368946927,8.85579648207417,5.32065146180395e-17,6.19643069241688e-14,27.9598256926621
"FAM83D",1.11466169671982,8.97059853424567,8.81055395357343,7.37763716514589e-17,8.05499647737085e-14,27.6430656867891
"KIF4A",0.971317907868297,8.82786105202336,8.67757158135883,1.91712555453153e-16,1.86057035067285e-13,26.7177586634569
"CDC20",1.12536675842642,9.14832125298331,8.60131270091351,3.3019239834997e-16,3.03585842461875e-13,26.1910667813884
"DTL",0.814090362521011,9.43653879718757,8.59010413977433,3.57573357541101e-16,3.12322449144275e-13,26.1138974851509
"DLGAP5",0.964688271674336,8.58368966804591,8.54413141567803,4.95432399288667e-16,4.1212898015113e-13,25.7980411653356
"KIF2C",0.859667753907209,8.66041720464713,8.52693355928941,5.59555711467041e-16,4.44312669255351e-13,25.6801564915544
"MCM10",1.07158275402828,7.61238607894766,8.48227437752333,7.67011859237522e-16,5.58288757042511e-13,25.3747343342121
"MELK",0.992762694674482,9.73039875831485,8.41496001572507,1.23140818574712e-15,7.96721096178384e-13,24.9162953791079
"DEPDC1",1.02399783127839,7.41214351839071,8.38589356650805,1.50961874765078e-15,9.03137811857829e-13,24.7190599152081
"ADGRG1",0.724715810858561,8.97604702556653,8.37734548759631,1.60268316260763e-15,9.03137811857829e-13,24.6611384282278
"KIF20A",0.862141146887971,8.81675288976457,8.35552744364042,1.86674566281912e-15,9.88187272235977e-13,24.5134716534907
"NUSAP1",0.894294026828,9.30984051568163,8.29186330780344,2.90902347668222e-15,1.45193517469033e-12,24.0840020458742
"BIRC5",0.872286727220748,8.11833239016742,8.21927395142137,4.81161297304228e-15,2.21194913226515e-12,23.596918067862
"GINS1",0.834706599840089,9.83668181070721,8.2077885464977,5.20905130650087e-15,2.33325428905804e-12,23.5201046674075
"CDC45",1.42115004348054,7.09879172445606,8.20369232100002,5.35851105739733e-15,2.34019574154185e-12,23.4927264035678
"FOXM1",1.245856748523,8.3525673196242,8.19451437573045,5.70895693113809e-15,2.43003421557697e-12,23.4314154255348
"CTPS1",0.627351944009918,9.36571524255119,8.16395683544857,7.04722652671944e-15,2.76346807835547e-12,23.2276067640899
"UBE2S",0.794004824720993,10.066582230097,8.16249141572515,7.11867099009652e-15,2.76346807835547e-12,23.217845424127
"BUB1B",0.840435816231565,9.36082009943672,8.12499808908235,9.21107979493971e-15,3.42358197740004e-12,22.9684889701466
