"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"BCL2",-2.21441339080973,10.1979776764562,-21.2681907085955,5.07856359910424e-83,5.60038856413145e-79,178.184686753846
"ENO1",1.16484822550727,13.9576955059655,21.2498706306166,6.64143322162045e-83,5.60038856413145e-79,177.918711105274
"CA9",4.44627685914141,3.35983041040191,20.5599521456547,1.52191266858544e-78,8.55568571856446e-75,167.966077485345
"ADM",2.11334262366749,7.06949606140848,20.131662850899,7.24879560678679e-76,3.05627344771148e-72,161.853467464337
"PGK1",0.912435845251283,13.0042044944904,20.0033518566949,4.5498414504305e-75,1.53466152123021e-71,160.03255582614
"GAPDH",1.03750684235941,15.5066916625069,18.833535300076,6.71993297938421e-68,1.88886116162191e-64,143.668240939882
"PLOD1",1.0278209677342,11.6852607823412,18.42367362602,1.95878720631612e-65,4.71927803350306e-62,138.043044492599
"TPI1",0.850524929381612,12.7718327618278,18.4005557235685,2.69293241701434e-65,5.67703815161836e-62,137.727540804563
"CSTB",1.11360807832255,11.4140973837371,17.8228333554492,7.19228782998859e-62,1.34775482503064e-58,129.907171605546
"GPI",0.840540920676881,12.5268331250895,17.690178833967,4.3239683917001e-61,7.29237269260222e-58,128.129379246526
"NDRG1",1.55468510764292,11.8958985229743,17.0852722949975,1.41098048455022e-57,2.16328962472176e-54,120.111439464028
"TUBA1C",0.875445114267309,11.9250738570223,16.9946234994874,4.68203317886922e-57,6.58020746346912e-54,118.922826415994
"WDR19",-0.928616580392491,8.7693875963128,-16.9672009070394,6.72546600438191e-57,8.72499878183854e-54,118.56393381885
"PFKP",1.69502564410341,9.63784012466655,16.5849383484117,1.01322007700582e-54,1.2205683284788e-51,113.59455116725
"PRDX4",0.858937698179638,10.6539942458554,16.5648383703157,1.31662662333716e-54,1.48032720017208e-51,113.335006707386
"SEPSECS",-0.820973313707684,8.24917296727317,-16.5087058330108,2.73365296155398e-54,2.81714710012919e-51,112.611127690167
"EZH1",-0.727899390945414,9.39155095053605,-16.5057786755025,2.83969764021324e-54,2.81714710012919e-51,112.573417551167
"KLHDC1",-1.28601793126898,5.54217431358073,-16.4919001609407,3.40108259968007e-54,3.18662544686691e-51,112.394674302707
"ZFP14",-0.793382044616799,7.98572755684073,-16.4333951802224,7.26897014069953e-54,6.12955907114488e-51,111.642120213213
"ZNF763",-1.0029925624922,6.26077416321989,-16.1859980390814,1.77394540719174e-52,1.4246471091566e-49,108.476796703285
"TRAK1",-0.739682961076864,10.5242277298252,-15.9397866740432,4.14666286437496e-51,3.17879405489472e-48,105.354381912999
"LDHA",0.756922071387958,13.59700123471,15.7970248695517,2.54524737442389e-50,1.86633030302865e-47,103.556833458677
"AFF3",-2.89992697414496,9.97462295335466,-15.6148786292767,2.54132616942732e-49,1.78581107697465e-46,101.277422246791
"NXPH4",2.14671565833963,5.59251439857638,15.5925432237942,3.36609230510019e-49,2.27076586902059e-46,100.999007962417
"MYRIP",-2.15982099071203,5.71437752567949,-15.521433303129,8.22341155610126e-49,5.33414753437107e-46,100.114218695293
"IKZF4",-0.666703170823038,7.71353248226185,-15.5153717649865,8.87299525658702e-49,5.54233574082741e-46,100.038911127591
"PSMB2",0.610322764289478,10.9052322992413,15.4399199170533,2.2825386745243e-48,1.37482195520901e-45,99.1030085095151
"GARS",0.644724061533061,11.2139491773216,15.3807998215486,4.77638507684743e-48,2.77771497658731e-45,98.371631842815
"ZNF396",-1.13287623994506,6.12444534493881,-15.3611253304303,6.10453771260115e-48,3.43176761743394e-45,98.1286193044151
"TBC1D9",-2.01371539082861,12.3698519586745,-15.3420998259364,7.73771201687002e-48,4.20956494079074e-45,97.8938044387578
"MTMR10",-0.631664916094616,9.37499394497503,-15.2906342347074,1.46803952891024e-47,7.73702707970977e-45,97.2595077748576
"FUT3",2.92879380695153,4.87244875900849,15.2134501990673,3.82627912926779e-47,1.95546053076065e-44,96.3107066987098
"SBSN",2.87233894895137,2.22514620065561,15.1793153500716,5.8392761295881e-47,2.89645270369127e-44,95.8920455901717
"N4BP2L1",-0.988882144429849,7.71247628523166,-15.1511489267719,8.27277557829738e-47,3.98629600365672e-44,95.547026712714
"TNRC6C",-0.886049136947795,9.48130844290448,-15.1472519627816,8.68099771332523e-47,4.0668062898675e-44,95.499323035475
"P4HA2",0.788552137111624,10.043920168123,15.0400018275365,3.25813309412017e-46,1.48509228736045e-43,94.189455570333
"MYB",-1.87648254680593,10.2374384790245,-15.0322958577395,3.58213779352972e-46,1.55411106587077e-43,94.0955652914251
"GSDMC",2.38812921175043,4.11267613205413,15.0320304181541,3.59385304292678e-46,1.55411106587077e-43,94.0923316874821
"ZNF224",-0.767626614524911,7.64284485850269,-14.9607344486824,8.62724902876544e-46,3.63746387175323e-43,93.2250983528093
"FAM13B",-0.754299255528826,9.58994767488599,-14.9369796845449,1.15434700797328e-45,4.74830787548035e-43,92.9367256239651
"CDC20",1.54453223223245,9.02216853767409,14.8748923111809,2.46762693685355e-45,9.68760217961371e-43,92.1843787477842
"B3GNT4",1.58168655395243,2.68530541010782,14.8748133804387,2.47000826399875e-45,9.68760217961371e-43,92.1834235626561
"ZNF441",-0.90105176477234,7.4941320070962,-14.8537205656182,3.19589812660507e-45,1.22497322511806e-42,91.9282827422836
"PDIA6",0.678059577997544,12.5605381383011,14.821839750418,4.71549218500718e-45,1.72884295000318e-42,91.5430853243384
"ARSG",-1.60409678683265,8.03373565625061,-14.8076881447152,5.60327827566387e-45,2.0106231514696e-42,91.3722682375585
"POLI",-0.812339382436802,9.12691860793956,-14.7889623809847,7.03886383401691e-45,2.47313413668115e-42,91.1463983442569
"TREM1",1.76753663684779,4.83562793691907,14.6762114698422,2.76876718036262e-44,9.33905169936311e-42,89.7902580778191
"ECE2",1.06572958307282,7.69624295557499,14.5953352927405,7.36451969654269e-44,2.43534558200377e-41,88.8216017747258
"NRIP2",-0.982261994149181,5.96902131736997,-14.5765752245809,9.2359349027254e-44,2.99546234873969e-41,88.5974046015612
"BTG2",-1.41468168245135,11.8591209797866,-14.5723696780389,9.71660163722531e-44,3.09189597380764e-41,88.5471706365672
"P4HA1",0.857916303218186,10.512529087507,14.5670251476006,1.03635701768526e-43,3.23669650060405e-41,88.4833453632643
"ZNF44",-0.747820689855205,7.98752747760844,-14.5159635775477,1.91708762320986e-43,5.8784877755335e-41,87.8743230121857
"DACH1",-2.6123959261421,7.95488620911958,-14.5101080827658,2.05701303830409e-43,6.19491515910686e-41,87.8045717616581
"CREBL2",-0.625743402079392,10.5422573868916,-14.5084623834966,2.09813985091058e-43,6.20791729572051e-41,87.7849713077646
"LONRF2",-2.44660217948884,8.42486159698442,-14.4856817309494,2.7591786905255e-43,8.02302562339871e-41,87.5137994404377
