Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM519117	0.0978746528061099	0.0637405938961434	0	0.0341804815889918	0.170379756191178	0.112655629057131	0.0595020235773792	0.0526395128405843	0	0.0898649003170139	0.00224608948824056	0	0	0.0934606152265521	0.157287176100262	0.0106872216944833	0	0.0351567832158543	0.0203245640000764	0	0	0	0	0.594732813002489	0.810450736694762
GSM519118	0.0703540728972557	0	0.0943132333402294	0.0763159105598429	0	0.211460358506539	0	0.160677014753602	0	0.0561458645700171	0.0199000813102872	0	0	0.0697210581835511	0.1163084255361	0.085486099684726	0.0243050460942183	0	0.00233682731282818	0.0126760072508037	0	0	0.021	0.199831654744819	1.0155529259173
GSM519119	0.0397416457986289	0	0.0430784539902371	0.051535055019778	0.0444440755173213	0.0560822782301485	0.0190997070749073	0.115564836974342	0.00425045000631296	0.234169802120257	0	0	0	0.0731276606527174	0.208205661592604	0.0323069799617893	0.0226234113853838	0	0.0557699816755727	0	0	0	0	0.691959261504185	0.743705125162526
GSM519120	0.0357584443766775	0	0.131976618255808	0.0283855231588658	0	0.0615388228330614	0.0412951306449899	0.0957711005554868	0	0.0956356179055549	0.00953728733886235	0	0	0.221066318078148	0.151390628325563	0.0813381369066612	0.0247987489625194	0	0.0210804736702276	0	0	0.000427148987573866	0	0.531045314249156	0.849339914970258
GSM519121	0.0466618190459685	0	0.0183314430656044	0.0333839174831691	0	0.0778949986686888	0	0.107168913745065	0	0.0990303408238677	0.0242702148142428	0	0	0.284420841233945	0.215037037626598	0.0666047918536747	0.0230167398918339	0	0.00376596763515215	0.000412974112189845	0	0	0	0.583154947474131	0.814024391679115
GSM519122	0.00904316014540501	0.0102546066848871	0.158844016301748	0.0606049820141542	0	0.0998336071340448	0.0635561557406365	0.119518326348845	0	0.106800069135175	0	0.0199693951988842	0	0.0724708280162656	0.11975011560927	0.0950523176702439	0.0332911785182722	0	0.0243205791255845	0	0.00164107796985121	0.00504958438673289	0	0.513160501464798	0.859620825252364
GSM519123	0	0.0183612301576172	0.0883110777434872	0.0115310254559082	0	0.252907752292233	0	0.0901638389263789	0.00214551039197873	0	0.00379054844351736	0	0.0058808540182559	0.0944710427987541	0.0750100064062695	0.0791960217855277	0.074198553575237	0.039761442056182	0.145393960066955	0.00147203699550097	0	0.017405098886197	0.001	0.418468046766458	0.907851028906779
GSM519124	0.0361387315355208	0	0.0914182885402207	0.115760902227483	0	0.0359828469895927	0.0904511070692034	0.0955398275566824	0	0.0618245325723981	0.0449939520851215	0	0	0.200919534599522	0.117440869322926	0.0549537272496805	0.019274993847969	0	0	0.0353006864036794	0	0	0	0.582557948929254	0.824001394795107
GSM519125	0.0695758466229675	0	0.0101027493859916	0.0714789145893997	0.0180320922429258	0.0315351211136711	0.0866615008162525	0.0700979743637956	0	0.117932368390279	0.0551576918749751	0	0	0.107253958767186	0.220904866553984	0.0510264122936835	0.0524003975215332	0	0.00893515683822786	0.0149206516198074	0	0.0139842970053212	0	0.645566747371237	0.777451185215167
GSM519126	0.0732452051577638	0	0.121228732874034	0.0287388951624459	0	0.101697144494585	0.00941553044770033	0.17209933661062	0	0.114170787406463	0	0	0	0.0836168441008042	0.1285571156145	0.0791949824214315	0.0383302007425999	0.024313652070436	0	0.0192685523258138	0.00432528758011477	0.00179773299068777	0.001	0.407785217928914	0.913578661523417
