Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-3C-AALJ-01	0.0348286307777993	0	0.0254718949797767	0.0645908876126847	0	0.0958634081404897	0	0.0978226352540882	0.0549379114897696	0	0.0634524722946928	0	0	0.358989586426794	0.0633386595108848	0.096592389970063	0	0	0.0441115235429569	0	0	0	0.002	0.483842188214985	0.874512919244506
TCGA-3C-AALK-01	0.0554600748977697	0	0.124972691152029	0.0779907124520886	0	0.227872751536313	0	0.041560028674389	0.0613808337435534	0	0.0230298197514323	0.00528300455977144	0.0163469863380183	0	0.0650551493427778	0.209290284524315	0.00311688338676737	0.00680171843163672	0.0818390612091387	0	0	0	0.226	0.0882110434409849	1.0392412461878
TCGA-4H-AAAK-01	0.091052133149454	0	0.0143432957593475	0.0432911682726286	0	0.188987200134023	0	0.0752306589189616	0.0255091839013299	0	0	0.00198425931311016	0	0.106089184687234	0.047372153971912	0.277841199807916	0	0.0104882094011968	0.117811352682887	0	0	0	0.162	0.106739173178231	1.04118702163339
TCGA-5L-AAT0-01	0.0882052357882713	0	0.0366632152110584	0.147312297029683	0	0.155982579945439	0	0.0759516107076268	0.0444032065741764	0	0.0174295534151987	0	0.000690329654771229	0.0492663215472967	0.0864826063644517	0.238348921103718	0	0	0.0589877544149214	0	0	0.000276368243387559	0.025	0.207916370026478	1.00093327361955
TCGA-5T-A9QA-01	0	0.00437108490410429	0	0.114456819391507	0	0.19893389774788	0	0.0380837002528047	0.0619485292842029	0	0	0.00324330701855903	0	0.245765245619723	0.00361168647576548	0.27654235026587	0	0	0.0289406162736803	0	0.0241027627659043	0	0.481	0.0365503472144735	1.10107498611945
TCGA-A1-A0SB-01	0.0276410698564926	0	0.0184873424390823	0.0173474784455138	0	0.265851809164039	0	0.133227600401953	0	0	0	0.0841434801017692	0.0386560904668483	0	0	0.229741113611554	0	0.0927929939845674	0.0819884431054238	0	0.0101225784227556	0	0.988	-0.0441720678013631	1.10331397540344
TCGA-A1-A0SD-01	0.0588565460794873	0	0.0447456755652236	0	0	0.200014908888458	0	0.0590923291834991	0.0343482102915449	0	0.0109995515812879	0.0108289124081487	0.000548208398004894	0.103975881665942	0.154660326118296	0.223391181203113	0	0	0.0985382686169952	0	0	0	0.493	0.0343353772805398	1.08039250569299
TCGA-A1-A0SE-01	0.100188938674554	0	0.0642760403416991	0.104803228874054	0	0.213945947382109	0	0.0110458787025699	0.0623846194217983	0	0.0286748718774244	0	0.0142158707912594	0	0.0561345121079412	0.195412150595758	0.0222801832010917	0	0.126637758029741	0	0	0	0.296	0.0671579400234059	1.04917633996221
TCGA-A1-A0SF-01	0.0749549373905897	0	0.11123508672164	0.177295848069385	0	0.225219406758105	0.00125732035520257	0.0525760934017937	0.068764093410685	0	0	0	0	0	0.0556522117823385	0.150110521232669	0	0.0182262062555113	0.0647082746220794	0	0	0	0.082	0.137028623409927	1.03089244814671
TCGA-A1-A0SG-01	0.142176314785765	0.134987600356985	0.0281240720148257	0.0476276013701845	0	0.155321926607579	0	0.0604017704114301	0	0	0	0.00320323097909315	0.00168980873644127	0.00829777178977818	0.0494514501886461	0.250349566021517	0.019452496539112	0.000194241790860649	0.0987221484077836	0	0	0	0.0610000000000001	0.155653402208613	1.01752278900524
TCGA-A1-A0SH-01	0.0393707262824327	0	0.0579740726832776	0.0192497218598342	0	0.204266299770251	0	0	0	0	0.0401246254053092	0	0	0.11908781496682	0.0292083655448795	0.379878218264374	0	0	0.110840155222821	0	0	0	0.194	0.0953122322075121	1.05429277475453
TCGA-A1-A0SI-01	0.0300432177978823	0	0.0321125026216612	0.0326841676532138	0	0.118299533561249	0	0.138087410427081	0.0168689775948295	0	0	0.0510201467662983	0.0218777712580537	0.269893535175673	0.0991707870666911	0.0710032290942458	0	0	0.118938720983121	0	0	0	0.011	0.257362098788711	0.985205444312441
TCGA-A1-A0SJ-01	0.145639672477277	0	0.157775365878327	0.0118780067172307	0	0.24665465363999	0	0.0214499613983628	0	0	0.0210971788168597	0	0	0.091601227133537	0.0630148052015479	0.157016870435628	0.035133864441914	0	0.0487094148410498	0	0	2.89790182762259e-05	0.348	0.0583172415208698	1.04536525755293
TCGA-A1-A0SK-01	0	0.00625971851502744	0.024006669837361	0.0452360641563207	0	0.344284521471745	0	0.231304090703591	0.00676980885210507	0	0	0	0	0.294186899055332	0.0086066955238014	0.0232517903259654	0	0	0.0160937415587504	0	0	0	0.645	0.014966033444346	1.12455471701037
TCGA-A1-A0SM-01	0.00117219344201351	0.00799706698177979	0.00176883310656285	0	0	0.287934184688208	0	0.0748005203999213	0.0205732534412121	0	0.00964793115272323	0.030376546758931	0.0259501148110238	0.115564819896076	0.00917488680148942	0.310795283246685	0	0	0.103047525587443	0	0.00119683968593179	0	0.236	0.0838914764925224	1.06037132745934
TCGA-A1-A0SN-01	0.070635974217504	0	0.0192185586590036	0.0777580172248449	0	0.327141528754467	0.00195516925860726	0.0470789785402124	0.038171940160125	0	0.0292715967119931	0	0.0104497916412319	0.0893819212672589	0.068426071916148	0.17858680480063	0	0	0.0419236468479748	0	0	0	0.034	0.187273714172758	1.01432839076899
TCGA-A1-A0SO-01	0.127270342317177	0	0.141440605362061	0.0376850337044104	0	0.163469504941633	0.00915692179599958	0.0737989145855598	0.0209396059665235	0	0	0.00172913476645655	0	0.153490219758775	0.093198119126296	0.176931267258762	0	0.000890330416345874	0	0	0	0	0.447	0.0414866263539197	1.06417086906017
